"WELL_ID","AUDIT_NO","TAG","FINAL_STA","DATA_SRC","CONTRACTOR","DATE_RECEIVED","FORMVERSION","COUNTY","MUNIC_CODE","CONREG","CONN","LOT","STREET","CITY","SITE","OWNER","USE_2ND","USE_1ST","selected_flag","data_entry_status","ABANDONMENT_REC"
"1500071",,,"1","1","2402",3/22/1961 0:00:00,1,"15","15001","CON"," 03","006","  ",,,,"1","2",1,,
"1500072",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 03","008","  ",,,,"0","2",1,,
"1500073",,,"1","1","1802",2/24/1961 0:00:00,1,"15","15001","CON"," 03","010","  ",,,,"1","2",1,,
"1500074",,,"1","1","4501",4/27/1950 0:00:00,1,"15","15001","CON"," 03","011","  ",,,,"1","2",1,,
"1500075",,,"1","1","3902",12/7/1956 0:00:00,1,"15","15001","CON"," 03","011","  ",,,,"1","2",1,,
"1500076",,,"1","1","4806",11/20/1957 0:00:00,1,"15","15001","CON"," 03","018","  ",,,,"0","2",1,,
"1500077",,,"1","1","3503",10/2/1963 0:00:00,1,"15","15005","CON"," 03","018","  ",,,,"0","1",1,,
"1500078",,,"1","1","3517",2/29/1960 0:00:00,1,"15","15001","CON"," 03","023","  ",,,,"1","2",1,,
"1500079",,,"1","1","4806",1/11/1950 0:00:00,1,"15","15001","CON"," 03","024","  ",,,,"0","2",1,,
"1500080",,,"1","1","4806",4/18/1957 0:00:00,1,"15","15001","CON"," 03","025","  ",,,,"0","1",1,,
"1500081",,,"1","1","3517",2/7/1962 0:00:00,1,"15","15001","CON"," 03","025","  ",,,,"1","2",1,,
"1500082",,,"1","1","4306",1/28/1964 0:00:00,1,"15","15001","CON"," 03","025","  ",,,,"0","1",1,,
"1500083",,,"1","1","4806",11/8/1966 0:00:00,1,"15","15001","CON"," 03","026","  ",,,,"0","1",1,,
"1500084",,,"1","1","1802",9/20/1954 0:00:00,1,"15","15001","CON"," 03","027","  ",,,,"0","1",1,,
"1500085",,,"1","1","4806",3/27/1956 0:00:00,1,"15","15001","CON"," 03","027","  ",,,,"0","1",1,,
"1500086",,,"1","1","4806",10/26/1959 0:00:00,1,"15","15001","CON"," 03","027","  ",,,,"0","1",1,,
"1500087",,,"1","1","3701",5/25/1961 0:00:00,1,"15","15001","CON"," 04","001","  ",,,,"1","2",1,,
"1500088",,,"6","1","4904",4/1/1967 0:00:00,1,"15","15001","CON"," 04","001","  ",,,,"0","9",1,,
"1500089",,,"6","1","4904",4/17/1967 0:00:00,1,"15","15001","CON"," 04","001","  ",,,,"0","9",1,,
"1500090",,,"1","1","4806",1/25/1960 0:00:00,1,"15","15001","CON"," 04","008","  ",,,,"0","1",1,,
"1500091",,,"1","1","4806",2/26/1963 0:00:00,1,"15","15001","CON"," 04","008","  ",,,,"0","2",1,,
"1500092",,,"1","1","3517",1/3/1961 0:00:00,1,"15","15001","CON"," 04","010","  ",,,,"0","2",1,,
"1500093",,,"1","1","3701",5/25/1961 0:00:00,1,"15","15001","CON"," 04","010","  ",,,,"0","1",1,,
"1500094",,,"1","1","1603",5/25/1961 0:00:00,1,"15","15001","CON"," 04","011","  ",,,,"1","2",1,,
"1500095",,,"1","1","4806",2/26/1963 0:00:00,1,"15","15001","CON"," 04","011","  ",,,,"0","1",1,,
"1500096",,,"1","1","3517",3/2/1961 0:00:00,1,"15","15001","CON"," 04","012","  ",,,,"0","2",1,,
"1500097",,,"1","1","4806",1/26/1965 0:00:00,1,"15","15001","CON"," 04","012","  ",,,,"1","2",1,,
"1500098",,,"1","1","4806",1/19/1959 0:00:00,1,"15","15001","CON"," 04","013","  ",,,,"0","2",1,,
"1500099",,,"1","1","4806",9/14/1964 0:00:00,1,"15","15001","CON"," 04","014","  ",,,,"0","1",1,,
"1500100",,,"5","1","1603",5/25/1961 0:00:00,1,"15","15001","CON"," 04","016","  ",,,,"0","9",1,,
"1500101",,,"1","1","3517",3/2/1961 0:00:00,1,"15","15001","CON"," 04","019","  ",,,,"0","1",1,,
"1500102",,,"1","1","4501",1/5/1949 0:00:00,1,"15","15001","CON"," 04","020","  ",,,,"0","2",1,,
"1500103",,,"1","1","4806",2/21/1966 0:00:00,1,"15","15001","CON"," 04","020","  ",,,,"1","2",1,,
"1500104",,,"1","1","4806",12/13/1967 0:00:00,1,"15","15001","CON"," 04","021","  ",,,,"1","2",1,,
"1500105",,,"1","1","4806",10/2/1962 0:00:00,1,"15","15001","CON"," 04","022","  ",,,,"0","1",1,,
"1500106",,,"1","1","4806",9/14/1964 0:00:00,1,"15","15001","CON"," 04","022","  ",,,,"0","7",1,,
"1500107",,,"1","1","4501",1/5/1949 0:00:00,1,"15","15001","CON"," 04","023","  ",,,,"0","1",1,,
"1500108",,,"1","1","4806",4/17/1967 0:00:00,1,"15","15001","CON"," 04","023","  ",,,,"0","1",1,,
"1500109",,,"1","1","3517",12/8/1961 0:00:00,1,"15","15001","CON"," 04","024","  ",,,,"1","2",1,,
"1500110",,,"1","1","4806",1/8/1952 0:00:00,1,"15","15001","CON"," 04","025","  ",,,,"0","1",1,,
"1500111",,,"1","1","4806",1/8/1952 0:00:00,1,"15","15001","CON"," 04","025","  ",,,,"0","1",1,,
"1500112",,,"1","1","3517",9/2/1959 0:00:00,1,"15","15001","CON"," 04","025","  ",,,,"0","1",1,,
"1500113",,,"1","1","4806",12/13/1967 0:00:00,1,"15","15001","CON"," 04","025","  ",,,,"1","2",1,,
"1500114",,,"1","1","4806",6/17/1965 0:00:00,1,"15","15001","CON"," 04","026","  ",,,,"0","1",1,,
"1500115",,,"1","1","4806",6/17/1965 0:00:00,1,"15","15001","CON"," 04","026","  ",,,,"0","1",1,,
"1500116",,,"1","1","4806",6/13/1961 0:00:00,1,"15","15001","CON"," 05","007","  ",,,,"1","2",1,,
"1500117",,,"1","1","3517",5/11/1961 0:00:00,1,"15","15001","CON"," 05","011","  ",,,,"0","1",1,,
"1500118",,,"1","1","3517",9/19/1960 0:00:00,1,"15","15001","CON"," 05","015","  ",,,,"0","1",1,,
"1500119",,,"1","1","3517",9/19/1960 0:00:00,1,"15","15001","CON"," 05","015","  ",,,,"0","1",1,,
"1500120",,,"5","1","1802",12/7/1962 0:00:00,1,"15","15001","CON"," 05","015","  ",,,,,,1,,
"1500121",,,"1","1","1802",12/7/1962 0:00:00,1,"15","15001","CON"," 05","015","  ",,,,"1","2",1,,
"1500122",,,"1","1","3517",3/2/1961 0:00:00,1,"15","15001","CON"," 05","016","  ",,,,"0","2",1,,
"1500123",,,"1","1","1802",2/25/1963 0:00:00,1,"15","15001","CON"," 05","017","  ",,,,"1","2",1,,
"1500124",,,"1","1","3517",4/21/1959 0:00:00,1,"15","15001","CON"," 05","019","  ",,,,"0","1",1,,
"1500125",,,"1","1","1802",12/14/1966 0:00:00,1,"15","15001","CON"," 05","020","  ",,,,"0","1",1,,
"1500126",,,"1","1","4806",7/31/1967 0:00:00,1,"15","15001","CON"," 05","020","  ",,,,"0","1",1,,
"1500127",,,"1","1","4724",11/27/1967 0:00:00,1,"15","15001","CON"," 05","020","  ",,,,"0","1",1,,
"1500128",,,"1","1","1802",11/17/1952 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500129",,,"1","1","4839",12/7/1956 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500130",,,"1","1","4806",4/18/1957 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500131",,,"1","1","4806",2/10/1959 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500132",,,"1","1","3517",10/5/1959 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500133",,,"1","1","3517",9/15/1961 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500134",,,"1","1","3517",2/7/1962 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500135",,,"1","1","4806",10/2/1962 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500136",,,"1","1","1802",12/14/1966 0:00:00,1,"15","15001","CON"," 05","021","  ",,,,"0","1",1,,
"1500137",,,"1","1","3517",4/21/1959 0:00:00,1,"15","15001","CON"," 05","022","  ",,,,"0","1",1,,
"1500138",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 06","003","  ",,,,"0","2",1,,
"1500139",,,"1","1","4501",1/5/1949 0:00:00,1,"15","15001","CON"," 06","007","  ",,,,"0","2",1,,
"1500140",,,"1","1","3002",8/22/1955 0:00:00,1,"15","15001","CON"," 06","007","  ",,,,"1","2",1,,
"1500141",,,"1","1","4806",10/2/1962 0:00:00,1,"15","15001","CON"," 06","008","  ",,,,"0","2",1,,
"1500142",,,"1","1","3517",3/2/1961 0:00:00,1,"15","15001","CON"," 06","009","  ",,,,"0","2",1,,
"1500143",,,"1","1","4806",3/27/1956 0:00:00,1,"15","15001","CON"," 06","010","  ",,,,"0","1",1,,
"1500144",,,"1","1","4806",11/20/1961 0:00:00,1,"15","15001","CON"," 06","010","  ",,,,"0","7",1,,
"1500145",,,"1","1","4806",5/11/1959 0:00:00,1,"15","15001","CON"," 06","013","  ",,,,"0","1",1,,
"1500146",,,"1","1","3503",10/2/1961 0:00:00,1,"15","15001","CON"," 06","015","  ",,,,"0","1",1,,
"1500147",,,"1","1","3517",2/29/1960 0:00:00,1,"15","15001","CON"," 06","020","  ",,,,"0","1",1,,
"1500148",,,"1","1","3517",2/29/1960 0:00:00,1,"15","15001","CON"," 06","020","  ",,,,"0","1",1,,
"1500149",,,"1","1","3517",7/17/1961 0:00:00,1,"15","15001","CON"," 06","020","  ",,,,"0","1",1,,
"1500150",,,"1","1","3517",7/17/1961 0:00:00,1,"15","15001","CON"," 06","020","  ",,,,"0","1",1,,
"1500151",,,"1","1","4806",1/26/1965 0:00:00,1,"15","15001","CON"," 06","020","  ",,,,"0","1",1,,
"1500152",,,"1","1","3517",6/9/1959 0:00:00,1,"15","15001","CON"," 06","021","  ",,,,"0","1",1,,
"1500153",,,"1","1","4806",5/13/1968 0:00:00,1,"15","15001","CON"," 06","026","  ",,,,"0","1",1,,
"1500154",,,"1","1","4806",5/13/1968 0:00:00,1,"15","15001","CON"," 06","026","  ",,,,"0","1",1,,
"1500155",,,"1","1","3517",3/24/1964 0:00:00,1,"15","15001","CON"," 07","001","  ",,,,"1","2",1,,
"1500156",,,"1","1","1801",1/3/1957 0:00:00,1,"15","15001","CON"," 07","002","  ",,,,"0","2",1,,
"1500157",,,"1","1","3701",5/25/1961 0:00:00,1,"15","15001","CON"," 07","003","  ",,,,"1","2",1,,
"1500158",,,"1","1","3701",5/25/1961 0:00:00,1,"15","15001","CON"," 07","004","  ",,,,"1","2",1,,
"1500159",,,"1","1","3517",9/2/1959 0:00:00,1,"15","15001","CON"," 07","007","  ",,,,"0","2",1,,
"1500160",,,"1","1","3023",2/8/1950 0:00:00,1,"15","15001","CON"," 07","008","  ",,,,"1","2",1,,
"1500161",,,"1","1","1801",1/3/1957 0:00:00,1,"15","15001","CON"," 07","008","  ",,,,"0","2",1,,
"1500162",,,"1","1","2415",1/15/1962 0:00:00,1,"15","15001","CON"," 07","010","  ",,,,"1","2",1,,
"1500163",,,"1","1","2415",1/22/1968 0:00:00,1,"15","15001","CON"," 07","010","  ",,,,"1","2",1,,
"1500164",,,"1","1","3517",6/3/1960 0:00:00,1,"15","15001","CON"," 07","015","  ",,,,"0","2",1,,
"1500165",,,"1","1","3517",12/8/1961 0:00:00,1,"15","15001","CON"," 07","016","  ",,,,"0","1",1,,
"1500166",,,"1","1","4724",3/29/1966 0:00:00,1,"15","15001","CON"," 07","018","  ",,,,"1","2",1,,
"1500167",,,"1","1","4806",3/24/1964 0:00:00,1,"15","15001","CON"," 07","019","  ",,,,"1","2",1,,
"1500168",,,"1","1","4806",10/3/1955 0:00:00,1,"15","15001","CON"," 07","020","  ",,,,"0","1",1,,
"1500169",,,"1","1","3701",5/25/1961 0:00:00,1,"15","15001","CON"," 08","001","  ",,,,"1","2",1,,
"1500170",,,"1","1","3701",12/7/1962 0:00:00,1,"15","15001","CON"," 08","002","  ",,,,"1","2",1,,
"1500171",,,"1","1","4806",11/8/1966 0:00:00,1,"15","15001","CON"," 08","004","  ",,,,"0","1",1,,
"1500172",,,"1","1","2415",12/31/1964 0:00:00,1,"15","15001","CON"," 08","006","  ",,,,"1","2",1,,
"1500173",,,"1","1","2415",1/2/1963 0:00:00,1,"15","15001","CON"," 08","008","  ",,,,"0","1",1,,
"1500174",,,"1","1","2415",11/5/1965 0:00:00,1,"15","15001","CON"," 08","012","  ",,,,"1","2",1,,
"1500175",,,"1","1","4724",5/17/1966 0:00:00,1,"15","15001","CON"," 08","013","  ",,,,"1","2",1,,
"1500176",,,"1","1","3517",12/8/1961 0:00:00,1,"15","15001","CON"," 08","016","  ",,,,"1","2",1,,
"1500177",,,"1","1","3517",3/2/1961 0:00:00,1,"15","15001","CON"," 08","018","  ",,,,"0","1",1,,
"1500178",,,"1","1","4806",3/24/1964 0:00:00,1,"15","15001","CON"," 08","020","  ",,,,"0","1",1,,
"1500179",,,"1","1","4806",12/30/1952 0:00:00,1,"15","15001","CON"," 09","005","  ",,,,"0","2",1,,
"1500180",,,"1","1","3517",11/2/1959 0:00:00,1,"15","15001","CON"," 09","005","  ",,,,"0","2",1,,
"1500181",,,"1","1","4806",8/21/1961 0:00:00,1,"15","15001","CON"," 09","008","  ",,,,"0","2",1,,
"1500182",,,"1","1","4806",8/21/1961 0:00:00,1,"15","15001","CON"," 09","011","  ",,,,"0","1",1,,
"1500183",,,"1","1","4724",1/3/1967 0:00:00,1,"15","15001","CON"," 09","014","  ",,,,"0","1",1,,
"1500184",,,"1","1","4806",6/13/1961 0:00:00,1,"15","15001","CON"," 09","017","  ",,,,"0","1",1,,
"1500185",,,"1","1","4806",1/26/1965 0:00:00,1,"15","15001","CON"," 09","019","  ",,,,"1","2",1,,
"1500186",,,"1","1","4806",11/30/1965 0:00:00,1,"15","15001","CON"," 09","020","  ",,,,"1","2",1,,
"1500187",,,"1","1","4806",2/28/1950 0:00:00,1,"15","15001","CON"," 09","023","  ",,,,"0","1",1,,
"1500188",,,"1","1","4806",1/26/1965 0:00:00,1,"15","15001","CON"," 10","005","  ",,,,"1","2",1,,
"1500189",,,"1","1","5205",3/15/1954 0:00:00,1,"15","15001","CON"," 10","006","  ",,,,"1","2",1,,
"1500190",,,"1","1","4806",3/14/1968 0:00:00,1,"15","15001","CON"," 10","006","  ",,,,"1","2",1,,
"1500191",,,"1","1","3902",4/29/1958 0:00:00,1,"15","15001","CON"," 10","014","  ",,,,"0","1",1,,
"1500192",,,"1","1","5205",3/15/1954 0:00:00,1,"15","15001","CON"," 10","016","  ",,,,"0","2",1,,
"1500193",,,"1","1","4806",12/6/1951 0:00:00,1,"15","15001","CON"," 10","018","  ",,,,"0","2",1,,
"1500194",,,"1","1","4501",2/24/1948 0:00:00,1,"15","15001","CON"," 10","020","  ",,,,"0","2",1,,
"1500195",,,"1","1","4501",5/19/1948 0:00:00,1,"15","15001","CON"," 10","020","  ",,,,"0","2",1,,
"1500196",,,"1","1","4806",9/4/1963 0:00:00,1,"15","15001","CON"," 10","020","  ",,,,"0","4",1,,
"1500197",,,"1","1","4501",5/19/1948 0:00:00,1,"15","15001","CON"," 10","021","  ",,,,"1","2",1,,
"1500198",,,"1","1","3902",4/29/1958 0:00:00,1,"15","15001","CON"," 10","022","  ",,,,"0","1",1,,
"1500199",,,"1","1","3517",9/2/1959 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500200",,,"1","1","4501",3/18/1949 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","5",1,,
"1500201",,,"1","1","4501",3/18/1949 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"1","2",1,,
"1500202",,,"1","1","4501",11/30/1949 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","7",1,,
"1500203",,,"1","1","4806",9/11/1956 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500204",,,"1","1","3902",9/4/1958 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500205",,,"1","1","3902",4/29/1958 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500206",,,"1","1","3902",7/14/1958 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500207",,,"1","1","3902",5/6/1959 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500208",,,"1","1","3517",7/21/1959 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500209",,,"1","1","3517",7/21/1959 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500210",,,"1","1","3517",6/3/1960 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500211",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"1","7",1,,
"1500212",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500213",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"1","7",1,,
"1500214",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"1","5",1,,
"1500215",,,"1","1","3517",5/11/1961 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500216",,,"1","1","3517",5/11/1961 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500217",,,"1","1","1802",9/5/1962 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500218",,,"1","1","3504",3/20/1963 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"1","5",1,,
"1500219",,,"1","1","1802",5/21/1963 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500220",,,"1","1","4806",9/4/1963 0:00:00,1,"15","15001","CON"," 10","023","  ",,,,"0","1",1,,
"1500221",,,"1","1","4806",1/4/1957 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500222",,,"1","1","3902",4/29/1958 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500223",,,"1","1","4832",12/19/1958 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500224",,,"1","1","3517",7/21/1959 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500225",,,"1","1","3517",10/5/1959 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500226",,,"1","1","3517",9/1/1960 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
"1500227",,,"1","1","3517",11/23/1960 0:00:00,1,"15","15001","CON"," 10","024","  ",,,,"0","1",1,,
